Song Name,Artist Name,File Location,
 Everything,Diamond Eyes ,Music\Diamond Eyes - Everything.wav,
 Gravity,Diamond Eyes ,Music\Diamond Eyes - Gravity.wav,
 DANCE WITH U,PANDA EYES ,Music\PANDA EYES - DANCE WITH U.wav,
 FREE FROM U,PANDA EYES ,Music\PANDA EYES - FREE FROM U.wav,
 Antigravity,Starset ,Music\Starset - Antigravity.wav,
 EARTHRISE,STARSET ,Music\STARSET - EARTHRISE.wav,
 LEAVING THIS WORLD BEHIND,STARSET ,Music\STARSET - LEAVING THIS WORLD BEHIND.wav,
 Satellite,Starset ,Music\Starset - Satellite.wav,
 STRATOSPHERE,STARSET ,Music\STARSET - STRATOSPHERE.wav,
 Telepathic,Starset ,Music\Starset - Telepathic.wav,
 The Nights,Avicii ,Music\Avicii - The Nights.wav,
 Zombie,Bad Wolves ,Music\Bad Wolves - Zombie.wav,
 The Dark of You,Breaking Benjamin ,Music\Breaking Benjamin - The Dark of You.wav,
 Turbo Killer,Carpenter Brut ,Music\Carpenter Brut - Turbo Killer.wav,
 Eyes Half Closed,Crywolf ,Music\Crywolf - Eyes Half Closed.wav,
 The Moon Is Falling Down,Crywolf ,Music\Crywolf - The Moon Is Falling Down.wav,
 Whisper,Crywolf ,Music\Crywolf - Whisper.wav,
 One For The Money,Escape the Fate ,Music\Escape the Fate - One For The Money.wav,
 Far From Home,Five Finger Death Punch ,Music\Five Finger Death Punch - Far From Home.wav,
 Gone Away,Five Finger Death Punch ,Music\Five Finger Death Punch - Gone Away.wav,
 Crab Rave_,Noisestorm ,Music\Noisestorm - Crab Rave_.wav,
 Never Gonna Give You Up,Rick Astley ,Music\Rick Astley - Never Gonna Give You Up.wav,
 Savior,Rise Against ,Music\Rise Against - Savior.wav,
 Comatose,Skillet ,Music\Skillet - Comatose.wav,
 The Resistance,Skillet ,Music\Skillet - The Resistance.wav,
 You dont even know me,SLANDER ,Music\SLANDER - You dont even know me.wav,
 All Eyes On You,Smash Into Pieces ,Music\Smash Into Pieces - All Eyes On You.wav,
 Arcadia,Smash Into Pieces ,Music\Smash Into Pieces - Arcadia.wav,
 Godsent,Smash Into Pieces ,Music\Smash Into Pieces - Godsent.wav,
 It Has Begun_,Starset ,Music\Starset - It Has Begun_.wav,
 Ricochet_,Starset ,Music\Starset - Ricochet_.wav,
 Born For This,The Score ,Music\The Score - Born For This.wav,
 In My Bones,The Score ,Music\The Score - In My Bones.wav,
 Legend,The Score ,Music\The Score - Legend.wav,
 Unstoppable,The Score ,Music\The Score - Unstoppable.wav,
 STATE of MINE,The Thunder Rolls ,Music\The Thunder Rolls - STATE of MINE.wav,
 Friday Night,Vigiland ,Music\Vigiland - Friday Night.wav,
 Explode,Written By Wolves ,Music\Written By Wolves - Explode.wav,
 Genius,Written By Wolves ,Music\Written By Wolves - Genius.wav,
 Kerosene Dreams,XAmbassadors ,Music\XAmbassadors - Kerosene Dreams.wav,
